name,town,county,tier
Abbey College,Huntingdon,Cambs,1
Abingdon and Witney College,Abingdon,Oxfordshire,1
Academy of Live Technology Ltd,South Kirkby,West Yorkshire,1
Academy of Motion Picture Arts and Sciences,London,,1
Academy of Robotics Ltd,Cardff,,1
Academy Of Sinology UK,Swansea,,1
Academy of the Annunciation,Buckfastleigh,Devon,1
Acculearn Trading Limited T/A Cranbrook College,London,Essex,1
Acquire Learning College LTD,Sheffield,South Yorkshire,1
ADVANCE COLLEGE OF BUSINESS AND TECHNOLOGY LIMITED,London,,1
Al-Maktoum College of Higher Education,Dundee,Angus,1
ALL SAINTS CATHOLIC COLLEGE,LONDON,,1
Ampleforth Abbey and College,York,North Yorkshire,1
Anglo Chinese School of London Limited,London,,1
Aquinas College,Stockport,,1
Archbishop beck catholic college,Liverpool,,1
Architectural Association School of Architecture,London,,1
Ashbourne College,London,,1
Ashorne Hill Management College,Leamington Spa,Warwickshire,1
Ashville College,Harrogate,N Yorkshire,1
Aylesbury College,Aylesbury,Bucks,1
Barking & Dagenham College,Romford,Essex,1
Barnet and Southgate College,Herts,,1
Barnsley College,Barnsley,South Yorkshire,1
Basingstoke College of Technology,Basingstoke,Hampshire,1
Bath College,Bath,,1
Bedford College,Bedford,Bedfordshire,1
Belfast School of Theology,Belfast,,1
Bellerive FCJ Catholic College,Liverpool,Merseyside,1
BELLMONT COLLEGE LIMITED,London,,1
Bexhill College,Bexhill,East Sussex,1
Birkbeck College,London,,1
Birmingham Christian College,Birmingham,,1
Bishop Burton College,Bishop Burton,East Riding of Yorkshire,1
Blackpool and The Fylde College,Blackpool,Lancashire,1
Blessed Thomas Holford Catholic College,Altrincham,Cheshire,1
Boston College,Boston,Lincolnshire,1
Bradfield College,Reading,Berkshire,1
Brampton College,London,,1
Brighton College,Brighton,East Sussex,1
BRISTOL SCHOOL OF ACTING LTD,Bristol,,1
Britannia School of Academics Ltd,London,,1
British Academy of Jewellery Ltd,London,,1
"British Academy Of Songwriters, Composers and Authors",London,,1
Brockenhurst College,Brockenhurst,Hampshire,1
Brockhill Park Performing Arts College,Hythe,Kent,1
Bromley College of Further & Higher Education,Bromley,Kent,1
Brooklands College,Weybridge,Surrey,1
Burnley College,Burnley,,1
Burwell Village College Primary School,Cambridge,CAMBRIDGESHIRE,1
Business School England Limited,London,,1
CAETOP COLLEGE LONDON LTD,Ilford,,1
CAMBRIDGE COLLEGE OF MANAGEMENT AND SCIENCES LTD,Birmingham,,1
Cambridge Muslim College,Cambridge,,1
Cambridge Regional College,Cambridge,Cambs,1
Cambridge Seminars College,Cambridge,,1
Cambridge Star College Ltd,Cambridge,,1
Cambridge Stoke College Limited,Sudbury,Suffolk,1
Cambridge Tutors College,Croydon,,1
Campbell College,Belfast,,1
Canary Wharf College,London,,1
Capital City College Group,London,,1
Cardiff and Vale College,Cardiff,,1
Carshalton Boys Sports College,Carshalton,Surrey,1
CASPIAN SCHOOL OF ACADEMICS LTD,London,,1
CECOS College London,London,,1
Central School of Ballet,London,,1
Chartered Institute of Arbitrators,London,,1
